timestamp,type,amount,asset,note
2025-11-19T06:49:12Z,PNL,-1.42865755,USDT,Trade (SOON-USDT-SWAP)
2025-11-19T07:00:00Z,PNL,-3.20386170,USDT,Funding Fee (SOON-USDT-SWAP)
2025-11-19T08:00:01Z,PNL,-24.52451384,USDT,Funding Fee (SOON-USDT-SWAP)
2025-11-19T09:00:00Z,PNL,-3.10924231,USDT,Funding Fee (SOON-USDT-SWAP)
2025-11-19T09:27:19Z,PNL,94.78252400,USDT,Trade (SOON-USDT-SWAP)
2025-11-19T15:28:58Z,PNL,-0.87314500,USDT,Trade (XPL-USDT-SWAP)
2025-11-19T15:50:24Z,PNL,37.32394400,USDT,Trade (XPL-USDT-SWAP)
2025-11-20T00:56:34Z,PNL,-1.92077705,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-20T01:00:00Z,PNL,-2.32598981,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-20T01:17:10Z,PNL,71.86259620,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-20T02:20:01Z,PNL,-1.11434880,USDT,Trade (WCT-USDT-SWAP)
2025-11-20T03:00:00Z,PNL,0.02818090,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T04:00:00Z,PNL,0.02848010,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T05:00:00Z,PNL,0.02982650,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T06:00:00Z,PNL,0.02977040,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T07:00:00Z,PNL,-0.22213284,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T08:00:01Z,PNL,-0.51559583,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T09:00:00Z,PNL,-0.01816653,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T10:00:00Z,PNL,-1.78505438,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T11:00:00Z,PNL,-1.78602061,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T12:00:00Z,PNL,-1.43263923,USDT,Funding Fee (WCT-USDT-SWAP)
2025-11-20T12:40:46Z,PNL,-66.99686400,USDT,Trade (WCT-USDT-SWAP)
2025-11-20T12:50:47Z,PNL,-1.89987665,USDT,Trade (STRK-USDT-SWAP)
2025-11-20T15:18:49Z,PNL,170.14155960,USDT,Trade (STRK-USDT-SWAP)
2025-11-20T23:22:37Z,DEPOSIT,-30.00000000,USDT,Deposit
2025-11-21T00:49:01Z,PNL,-1.08401796,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-21T01:00:00Z,PNL,0.06502871,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-21T02:00:00Z,PNL,0.06452413,USDT,Funding Fee (RESOLV-USDT-SWAP)
2025-11-21T02:33:29Z,PNL,22.50688050,USDT,Trade (RESOLV-USDT-SWAP)
2025-11-21T02:52:24Z,PNL,-0.84677989,USDT,Trade (ASTER-USDT-SWAP)
2025-11-21T03:06:12Z,PNL,-44.41280770,USDT,Trade (ASTER-USDT-SWAP)
2025-11-21T03:08:22Z,PNL,-0.60440640,USDT,Trade (PIEVERSE-USDT-SWAP)
2025-11-21T04:00:00Z,PNL,0.12913767,USDT,Funding Fee (PIEVERSE-USDT-SWAP)
2025-11-21T07:34:26Z,PNL,2.69685873,USDT,Auto Import
2025-11-21T07:34:26Z,PNL,-500.13559650,USDT,Trade (PIEVERSE-USDT-SWAP)
2025-11-25T10:41:55Z,DEPOSIT,24.50000000,USDT,Deposit
2025-11-25T10:42:00Z,PNL,-0.03655300,USDT,Trade (PARTI-USDT-SWAP)
2025-11-25T10:47:04Z,PNL,-2.41594210,USDT,Trade (PARTI-USDT-SWAP)
2025-11-25T10:48:38Z,PNL,-0.53702065,USDT,Trade (ETH-USDT-SWAP)
2025-11-25T12:52:17Z,PNL,9.52317674,USDT,Trade (ETH-USDT-SWAP)
2025-11-25T15:54:32Z,PNL,-0.75518690,USDT,Trade (ETH-USDT-SWAP)
2025-11-25T16:00:00Z,PNL,-0.05192416,USDT,Funding Fee (ETH-USDT-SWAP)
2025-11-25T17:14:03Z,PNL,-30.83389494,USDT,Trade (ETH-USDT-SWAP)
2025-11-25T17:14:03Z,PNL,0.60734500,USDT,Auto Import
